Optimization Loop ID:  "A"
macd_chwin: 4        (dataspan: 40000)
EURUSD  M1 | 40000  (-0) | normal | Trades: 4228
EURUSD  M1 | 40000  (-0) | normal | Trades: 3950
EURUSD  M1 | 40000  (-0) | normal | Trades: 3704
EURUSD  M1 | 40000  (-0) | normal | Trades: 3852
EURUSD  M1 | 40000  (-0) | normal | Trades: 3606
EURUSD  M1 | 40000  (-0) | normal | Trades: 3446
EURUSD  M1 | 40000  (-0) | normal | Trades: 3406
EURUSD  M1 | 40000  (-0) | normal | Trades: 3212
EURUSD  M1 | 40000  (-0) | normal | Trades: 2984

EURUSD  M1 | 40000  (-0) | normal | Trades: 6950
EURUSD  M1 | 40000  (-0) | normal | Trades: 6228     [5,3,3]
EURUSD  M1 | 40000  (-0) | normal | Trades: 5670
EURUSD  M1 | 40000  (-0) | normal | Trades: 5332
EURUSD  M1 | 40000  (-0) | normal | Trades: 4992
EURUSD  M1 | 40000  (-0) | normal | Trades: 4736
EURUSD  M1 | 40000  (-0) | normal | Trades: 5448
EURUSD  M1 | 40000  (-0) | normal | Trades: 5056
EURUSD  M1 | 40000  (-0) | normal | Trades: 4680
EURUSD  M1 | 40000  (-0) | normal | Trades: 4408
EURUSD  M1 | 40000  (-0) | normal | Trades: 4202
EURUSD  M1 | 40000  (-0) | normal | Trades: 4524
EURUSD  M1 | 40000  (-0) | normal | Trades: 4228
EURUSD  M1 | 40000  (-0) | normal | Trades: 3950
EURUSD  M1 | 40000  (-0) | normal | Trades: 3704
EURUSD  M1 | 40000  (-0) | normal | Trades: 3852
EURUSD  M1 | 40000  (-0) | normal | Trades: 3606
EURUSD  M1 | 40000  (-0) | normal | Trades: 3446
EURUSD  M1 | 40000  (-0) | normal | Trades: 3406
EURUSD  M1 | 40000  (-0) | normal | Trades: 3212
EURUSD  M1 | 40000  (-0) | normal | Trades: 2984

EURUSD  M1 | 40000  (-0) | normal | Trades: 5448
EURUSD  M1 | 40000  (-0) | normal | Trades: 5056
EURUSD  M1 | 40000  (-0) | normal | Trades: 4680
EURUSD  M1 | 40000  (-0) | normal | Trades: 4408
EURUSD  M1 | 40000  (-0) | normal | Trades: 4202
EURUSD  M1 | 40000  (-0) | normal | Trades: 4524
EURUSD  M1 | 40000  (-0) | normal | Trades: 4228
EURUSD  M1 | 40000  (-0) | normal | Trades: 3950
EURUSD  M1 | 40000  (-0) | normal | Trades: 3704
EURUSD  M1 | 40000  (-0) | normal | Trades: 3852
EURUSD  M1 | 40000  (-0) | normal | Trades: 3606
EURUSD  M1 | 40000  (-0) | normal | Trades: 3446
EURUSD  M1 | 40000  (-0) | normal | Trades: 3406
EURUSD  M1 | 40000  (-0) | normal | Trades: 3212
EURUSD  M1 | 40000  (-0) | normal | Trades: 2984

EURUSD  M1 | 40000  (-0) | normal | Trades: 4524
EURUSD  M1 | 40000  (-0) | normal | Trades: 4228
EURUSD  M1 | 40000  (-0) | normal | Trades: 3950
EURUSD  M1 | 40000  (-0) | normal | Trades: 3704
EURUSD  M1 | 40000  (-0) | normal | Trades: 3852
EURUSD  M1 | 40000  (-0) | normal | Trades: 3606
EURUSD  M1 | 40000  (-0) | normal | Trades: 3446
EURUSD  M1 | 40000  (-0) | normal | Trades: 3406
EURUSD  M1 | 40000  (-0) | normal | Trades: 3212
