dataspan = 30.000 (!)

___   CCI-chwin: 2   ___

chval-th: 5
EURUSD  M1 | 30000  (-0) | normal | Trades: 6948
EURUSD  M1 | 30000  (-0) | normal | Trades: 7048
EURUSD  M1 | 30000  (-0) | normal | Trades: 7048
EURUSD  M1 | 30000  (-0) | normal | Trades: 7048
EURUSD  M1 | 30000  (-0) | normal | Trades: 7177
EURUSD  M1 | 30000  (-0) | normal | Trades: 7177
EURUSD  M1 | 30000  (-0) | normal | Trades: 7177
EURUSD  M1 | 30000  (-0) | normal | Trades: 7257
EURUSD  M1 | 30000  (-0) | normal | Trades: 7211
EURUSD  M1 | 30000  (-0) | normal | Trades: 7257
chval-th: 17
EURUSD  M1 | 30000  (-0) | normal | Trades: 6928
EURUSD  M1 | 30000  (-0) | normal | Trades: 7030
EURUSD  M1 | 30000  (-0) | normal | Trades: 7030
EURUSD  M1 | 30000  (-0) | normal | Trades: 7030
EURUSD  M1 | 30000  (-0) | normal | Trades: 7149
EURUSD  M1 | 30000  (-0) | normal | Trades: 7149
EURUSD  M1 | 30000  (-0) | normal | Trades: 7149
EURUSD  M1 | 30000  (-0) | normal | Trades: 7230
EURUSD  M1 | 30000  (-0) | normal | Trades: 7185
EURUSD  M1 | 30000  (-0) | normal | Trades: 7235
chval-th: 25
EURUSD  M1 | 30000  (-0) | normal | Trades: 6899
EURUSD  M1 | 30000  (-0) | normal | Trades: 7002
EURUSD  M1 | 30000  (-0) | normal | Trades: 7002
EURUSD  M1 | 30000  (-0) | normal | Trades: 7002
EURUSD  M1 | 30000  (-0) | normal | Trades: 7112
EURUSD  M1 | 30000  (-0) | normal | Trades: 7112
EURUSD  M1 | 30000  (-0) | normal | Trades: 7112
EURUSD  M1 | 30000  (-0) | normal | Trades: 7189
EURUSD  M1 | 30000  (-0) | normal | Trades: 7138
EURUSD  M1 | 30000  (-0) | normal | Trades: 7197
chval-th: 33
EURUSD  M1 | 30000  (-0) | normal | Trades: 6865
EURUSD  M1 | 30000  (-0) | normal | Trades: 6960
EURUSD  M1 | 30000  (-0) | normal | Trades: 6960
EURUSD  M1 | 30000  (-0) | normal | Trades: 6960
EURUSD  M1 | 30000  (-0) | normal | Trades: 7060
EURUSD  M1 | 30000  (-0) | normal | Trades: 7060
EURUSD  M1 | 30000  (-0) | normal | Trades: 7060
EURUSD  M1 | 30000  (-0) | normal | Trades: 7137
EURUSD  M1 | 30000  (-0) | normal | Trades: 7074
EURUSD  M1 | 30000  (-0) | normal | Trades: 7119
chval-th: 40
EURUSD  M1 | 30000  (-0) | normal | Trades: 6829
EURUSD  M1 | 30000  (-0) | normal | Trades: 6917
EURUSD  M1 | 30000  (-0) | normal | Trades: 6917
EURUSD  M1 | 30000  (-0) | normal | Trades: 6917
EURUSD  M1 | 30000  (-0) | normal | Trades: 7017
EURUSD  M1 | 30000  (-0) | normal | Trades: 7017
EURUSD  M1 | 30000  (-0) | normal | Trades: 7017
EURUSD  M1 | 30000  (-0) | normal | Trades: 7071
EURUSD  M1 | 30000  (-0) | normal | Trades: 7000
EURUSD  M1 | 30000  (-0) | normal | Trades: 7045
chval-th: 45
EURUSD  M1 | 30000  (-0) | normal | Trades: 6791
EURUSD  M1 | 30000  (-0) | normal | Trades: 6877
EURUSD  M1 | 30000  (-0) | normal | Trades: 6877
EURUSD  M1 | 30000  (-0) | normal | Trades: 6877
EURUSD  M1 | 30000  (-0) | normal | Trades: 6973
EURUSD  M1 | 30000  (-0) | normal | Trades: 6973
EURUSD  M1 | 30000  (-0) | normal | Trades: 6973
EURUSD  M1 | 30000  (-0) | normal | Trades: 7019
EURUSD  M1 | 30000  (-0) | normal | Trades: 6949
EURUSD  M1 | 30000  (-0) | normal | Trades: 6974
chval-th: 50
EURUSD  M1 | 30000  (-0) | normal | Trades: 6757
EURUSD  M1 | 30000  (-0) | normal | Trades: 6830
EURUSD  M1 | 30000  (-0) | normal | Trades: 6830
EURUSD  M1 | 30000  (-0) | normal | Trades: 6830
EURUSD  M1 | 30000  (-0) | normal | Trades: 6918
EURUSD  M1 | 30000  (-0) | normal | Trades: 6918
EURUSD  M1 | 30000  (-0) | normal | Trades: 6918
EURUSD  M1 | 30000  (-0) | normal | Trades: 6958
EURUSD  M1 | 30000  (-0) | normal | Trades: 6879
EURUSD  M1 | 30000  (-0) | normal | Trades: 6897
-----------------------------------
