RSI_win: 28 | RSI_chwin: 8 | 
RSI_win: 9 | RSI_chwin: 3 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 5 | RSI_chwin: 3 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 9 | RSI_chwin: 3 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 9 | RSI_chwin: 3 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 8 | RSI_chwin: 3 | 
RSI_win: 8 | RSI_chwin: 3 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 7 | RSI_chwin: 5 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 9 | RSI_chwin: 4 | 
RSI_win: 19 | RSI_chwin: 8 | 
RSI_win: 15 | RSI_chwin: 7 | 
RSI_win: 19 | RSI_chwin: 8 | 
RSI_win: 19 | RSI_chwin: 8 | 
RSI_win: 19 | RSI_chwin: 8 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 7 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 6 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 8 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
MACD_shortwin: 5 | MACD_longwin: 8 | MACD_signalwin: 4 | MACD_chwin: 3 | 
