dataspan: 30.000,   combo_chwin: 2,   minTSLdist: 12


chval_th: 2
EURUSD  M1 | 40000  (-0) | normal | Trades: 5831



EURUSD  M1 | 40000  (-0) | normal | Trades: 0

EURUSD  M1 | 40000  (-0) | normal | Trades: 359
EURUSD  M1 | 40000  (-0) | normal | Trades: 247
EURUSD  M1 | 40000  (-0) | normal | Trades: 359

EURUSD  M1 | 40000  (-0) | normal | Trades: 406
EURUSD  M1 | 40000  (-0) | normal | Trades: 1005
EURUSD  M1 | 40000  (-0) | normal | Trades: 4591
-----------------------------------
